127.0.0.1 - - [03/Jul/2015:11:48:18 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:22 -0300] "GET /project/ HTTP/1.1" 200 8556
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/javax.faces.resource/theme.css.jsf?ln=primefaces-delta HTTP/1.1" 200 36056
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/javax.faces.resource/charts/charts.css.jsf;jsessionid=B6CCA1639CE349472FB7C0D74EB2C3C0?ln=primefaces&v=4.0 HTTP/1.1" 200 4748
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/javax.faces.resource/primefaces.css.jsf;jsessionid=B6CCA1639CE349472FB7C0D74EB2C3C0?ln=primefaces&v=4.0 HTTP/1.1" 200 53356
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/css/css.css HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=B6CCA1639CE349472FB7C0D74EB2C3C0?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/javax.faces.resource/jquery/jquery-plugins.js.jsf;jsessionid=B6CCA1639CE349472FB7C0D74EB2C3C0?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/javax.faces.resource/gmap/gmap.js.jsf;jsessionid=B6CCA1639CE349472FB7C0D74EB2C3C0?ln=primefaces&v=4.0 HTTP/1.1" 200 4718
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/javax.faces.resource/primefaces.js.jsf;jsessionid=B6CCA1639CE349472FB7C0D74EB2C3C0?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/images/logo.png HTTP/1.1" 200 49107
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/images/login.png;jsessionid=B6CCA1639CE349472FB7C0D74EB2C3C0?pfdrid_c=true HTTP/1.1" 200 30645
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:23 -0300] "GET /project/javax.faces.resource/charts/charts.js.jsf;jsessionid=B6CCA1639CE349472FB7C0D74EB2C3C0?ln=primefaces&v=4.0 HTTP/1.1" 200 333681
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:24 -0300] "GET /project/javax.faces.resource/images/modalClose.png.jsf?ln=primefaces-delta HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:24 -0300] "GET /project/javax.faces.resource/images/ui-icons_222222_256x240.png.jsf?ln=primefaces-delta HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:48:24 -0300] "GET /project/css/images/rodape.png HTTP/1.1" 200 67407
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:49:21 -0300] "GET /project/ HTTP/1.1" 200 8094
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:49:21 -0300] "GET /project/javax.faces.resource/gmap/gmap.js.jsf?ln=primefaces&v=4.0 HTTP/1.1" 200 4718
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:49:21 -0300] "GET /project/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=4.0 HTTP/1.1" 200 53356
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:49:21 -0300] "GET /project/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:49:21 -0300] "GET /project/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:49:21 -0300] "GET /project/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:49:22 -0300] "GET /project/javax.faces.resource/charts/charts.css.jsf?ln=primefaces&v=4.0 HTTP/1.1" 200 4748
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:49:22 -0300] "GET /project/javax.faces.resource/charts/charts.js.jsf?ln=primefaces&v=4.0 HTTP/1.1" 200 333681
0:0:0:0:0:0:0:1 - - [03/Jul/2015:11:49:36 -0300] "POST /project/index.jsf HTTP/1.1" 200 208
